"BehaviorSpace results (NetLogo 6.1.1)"
"Dancing Game - Original.nlogo"
"experiment"
"05/06/2021 21:09:26:704 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","swap?","initial-burgandy","memory_size","type-players?","wipe?","learning?","memory_learning?","weighted_learning?","initial-light-blue","mutation_rate","leader-payoff","leader-follower-game?","gendered_learning?","gendered_pairing?","initial-orange","[step]","global-average-payoff","count turtles with [strategy = 0 and sex = 0]","count turtles with [strategy = 1 and sex = 0]","count turtles with [strategy = 2 and sex = 0]","count turtles with [strategy = 3 and sex = 0]","count turtles with [strategy = 0 and sex = 1]","count turtles with [strategy = 1 and sex = 1]","count turtles with [strategy = 2 and sex = 1]","count turtles with [strategy = 3 and sex = 1]"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","143","0.66993300669933","19","4","0","27","9","13","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","144","0.5999400059994","18","5","0","27","8","18","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","145","0.60993900609939","17","8","0","25","7","19","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","146","0.54994500549945","16","8","0","26","7","20","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","147","0.65993400659934","15","8","0","27","9","21","0","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","148","0.50994900509949","13","6","0","31","11","20","0","19"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","149","0.53994600539946","13","6","0","31","9","20","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","150","0.60993900609939","16","6","0","28","8","18","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","151","0.62993700629937","22","6","0","22","5","18","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","152","0.65993400659934","20","8","0","22","7","16","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","153","0.62993700629937","18","7","0","25","7","15","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","154","0.64993500649935","19","6","0","25","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","155","0.63993600639936","16","7","0","27","4","20","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","156","0.54994500549945","20","4","0","26","5","24","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","157","0.7099290070992901","20","3","0","27","5","23","0","22"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","158","0.66993300669933","21","3","0","26","4","19","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","159","0.64993500649935","21","4","0","25","8","18","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","160","0.56994300569943","23","4","0","23","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","161","0.55994400559944","21","4","0","25","9","18","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","162","0.6899310068993101","23","2","0","25","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","163","0.7399260073992601","20","2","0","28","7","14","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","164","0.63993600639936","20","2","0","28","5","14","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","165","0.5999400059994","21","2","0","27","10","13","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","166","0.66993300669933","20","3","0","27","6","15","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","167","0.6999300069993001","19","5","0","26","4","14","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","168","0.6899310068993101","21","3","0","26","7","13","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","169","0.63993600639936","22","3","0","25","7","15","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","170","0.6999300069993001","20","4","0","26","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","171","0.6799320067993201","20","4","0","26","7","19","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","172","0.6899310068993101","23","2","0","25","10","17","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","173","0.65993400659934","20","7","0","23","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","174","0.56994300569943","23","6","0","21","6","15","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","175","0.57994200579942","21","9","0","20","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","176","0.60993900609939","21","9","0","20","8","18","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","177","0.55994400559944","20","7","0","23","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","178","0.5999400059994","18","9","0","23","4","20","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","179","0.63993600639936","20","8","0","22","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","180","0.52994700529947","22","5","0","23","8","17","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","181","0.66993300669933","22","4","0","24","9","17","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","182","0.54994500549945","19","5","0","26","8","19","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","183","0.64993500649935","19","8","0","23","11","20","0","19"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","184","0.54994500549945","24","6","0","20","9","22","0","19"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","185","0.60993900609939","20","9","0","21","11","20","0","19"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","186","0.61993800619938","23","8","0","19","10","20","0","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","187","0.62993700629937","27","9","0","14","7","21","0","22"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","188","0.7399260073992601","24","8","0","18","3","24","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","189","0.6999300069993001","24","7","0","19","5","24","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","190","0.66993300669933","22","9","0","19","5","23","0","22"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","191","0.61993800619938","19","12","0","19","5","24","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","192","0.57994200579942","20","11","0","19","7","21","0","22"
